Year,Farge,DIN,PO4-P,SiO2,TOC,TOTN,TOTP/F,TOTP_P,TOTP,TSM,UV-Abs. 410nm,UV-Abs. 254nm
1990,,,15.751440954432827,,,1128.2817557698272,,,34.33696441242863,14147.839036225974,,
1991,,,14.611841219709042,,,1055.6798710297394,,,29.66266171147641,14055.06907821076,,
1992,,893.2287203451207,9.046969448927026,,,1264.4166010726492,,,23.20807342238143,8639.855408994981,,
1993,,786.4246885512727,19.900832278375752,,,1344.8086032974845,,,38.8391919033394,19346.71585744315,,
1994,,1062.7231136203327,12.50865568201774,,,1626.5152436533504,,,33.80683525493393,16843.907119384534,,
1995,,765.2975563738654,12.94579145479009,,,1347.141478312229,,,38.616610975515044,15782.38008442893,,
1996,,677.7742597078083,9.773911932497143,6002.242531802839,,1083.7987131236846,,,25.87891049339115,11129.179885594001,,
1997,,676.6486379709826,10.24859279959646,7348.064597392046,,1104.5686356144831,,,24.968728856477217,11923.110686309059,,
1998,,928.5501874579478,15.786336510121913,10068.38125746049,,1524.092894060855,,,39.11722376509188,16306.54771993932,,
1999,,925.5143062703205,21.175526752559435,11244.453765093196,16317.12530733278,1537.7218136200668,,,40.32351602563652,29272.33495835653,,
2000,,1396.6188011501454,24.81796546278793,19539.003363575874,27963.657422643308,2534.1258577756034,,,95.71662994734355,28866.73500789129,,
2001,,1024.1124273275757,27.800401467294336,14209.720492446564,18997.924065206545,1646.6142750638378,,,48.79751399058227,38405.30683666552,,
2002,,682.4821985660287,14.667496078154294,8666.137201523627,12358.469890515647,1066.1345871779413,,,28.793822060182418,10469.094598849972,,
2003,,858.2112151484074,4.8280607336867885,9463.950606338763,12104.97479559206,1222.2901451906428,,,27.536771275387473,15289.008088188246,,
2004,,943.1043704007615,12.819932568182164,11610.28308529261,14808.529556399051,1567.0050433692131,,,32.48033235811445,17300.69581533231,,
2005,,756.5967656906025,9.236149183921366,9680.827831775327,12052.625471514322,1185.0131730327312,,,26.902663480526453,10445.60470704033,,
2006,,1069.2413243428662,19.252084712289456,13064.576747947656,16704.645837072996,1498.289262114551,,,39.59493127199056,21572.019541199657,,
2007,,956.6825947930258,45.29035012469588,15253.806714706405,18993.7538046601,1727.0933066618577,,,116.00875466262244,47082.95988684144,,
2008,,916.1525828362403,17.058556386980698,13246.651470507957,18044.07665850293,1550.294105941603,,,40.550173440372305,24091.370192136106,,
2009,,837.214353594989,23.878401346205145,12835.548592139237,15434.741566888606,1567.4749858696964,,,48.294387624925996,25098.88824113111,,
2010,,844.3584409589221,15.339895312374917,12134.320392284557,15259.905450845441,1480.7632925159182,,,34.64590493006986,13287.751509359781,,
2011,,1060.772176049346,20.056810374853487,15321.909644410744,21048.069629568632,1924.7300192255097,,,46.39403088783923,21916.190971969037,,
2012,,882.40851845348,31.932963353286727,14896.714758002148,19294.019931814433,1742.8690510434205,,,60.7714745645232,25697.24357710226,,
2013,,912.7681840704337,27.830254032987185,12066.196972232086,16258.957650610702,1697.645571552747,,,49.79210350957666,24908.142521580445,,
2014,,1052.608637949887,30.570078749256997,15057.01814595884,19162.956613901846,1834.0815087034691,,,53.098943052381664,22330.094633276858,,
2015,,835.3891360862617,26.648894562737738,14311.88415906934,19666.788329910407,1688.0665927184336,,,49.010343208491015,34469.35828721591,,
2016,,651.970007204936,10.94705424292678,11644.26927990826,13341.642642378534,1255.9460025491194,,,23.596932919532676,8918.711706472033,,
2017,,933.5390817439564,36.814978844144235,12380.051400242275,16104.10166814256,1532.7881464353723,,,63.71366970259795,23092.216730298205,,
2018,,979.6940293362577,20.56440066194737,11474.554163917266,14653.45110247038,1565.4823113814734,9.175458959306761,,35.799860707458734,15582.046577821253,53825.498039475046,544347.7910309877
2019,,1152.687371125577,17.917674319954287,12537.719922666816,15315.809762792918,1665.0469020096,10.845093727337142,,35.097229775931424,14019.824038974171,58828.77773107359,599688.8113708361
2020,,1031.2860929548717,45.59203639504476,17493.154021062554,22503.904174876407,1811.2776395479582,,,77.85545292169851,21362.831254652927,87455.47107302636,889178.2136804406
2021,,955.6042454139522,27.348223955075103,13512.52905363559,15889.352726103578,1661.8924778159062,,,46.93650879064434,31130.57916921778,61073.92784337332,621722.3754257552
2022,81792.66466886959,610.9210625803446,17.832201773563373,8878.544642343733,9788.677814003131,918.0900010352751,,,32.00175226166389,17467.547040839883,39080.31590429789,402488.27276401233
2023,143986.94428295273,872.8502851437086,26.60186514165818,15944.690601750795,20866.120547042505,1555.3805350618597,,35.00744425453672,49.77553426356384,21937.392474683948,,
2024,,,,,,,,,,,,
