Timestamp,CDOMdigitalFinal (µg/L),QC flag CDOMdigitalFinal,PhValue_Avg (-),QC flag PhValue_Avg,CondValue_Avg (µS/cm),QC flag CondValue_Avg,Turbidity_Avg (NTU),QC flag Turbidity_Avg
2023-12-31 15:00:00,71.41,None,6.402,None,28.26,None,2.995,None
2023-12-31 14:00:00,71.69,None,6.402,None,28.42,None,2.55,None
2023-12-31 13:00:00,71.78,None,6.401,None,28.9,None,2.942,None
2023-12-31 12:00:00,71.7,None,6.397,None,31.81,None,2.746,None
2023-12-31 11:00:00,71.66,None,6.399,None,33.41,None,2.418,None
2023-12-31 10:00:00,71.84,None,6.398,None,31.71,None,2.674,None
2023-12-31 09:00:00,72.22,None,6.394,None,30.31,None,3.106,None
2023-12-31 08:00:00,71.66,None,6.388,None,31.09,None,2.266,None
2023-12-31 07:00:00,72.22,None,6.396,None,31.39,None,2.679,None
2023-12-31 06:00:00,72.12,None,6.394,None,31.72,None,2.137,None
2023-12-31 05:00:00,72.19,None,6.395,None,32.1,None,2.415,None
2023-12-31 04:00:00,72.48,None,6.394,None,30.23,None,2.62,None
2023-12-31 03:00:00,72.31,None,6.393,None,29.93,None,2.399,None
2023-12-31 02:00:00,72.39,None,6.396,None,31.13,None,2.634,None
2023-12-31 01:00:00,72.57,None,6.393,None,31.2,None,2.453,None
2023-12-31 00:00:00,72.56,None,6.394,None,32.41,None,2.694,None
2023-12-30 23:00:00,72.76,None,6.393,None,32.65,None,2.198,None
2023-12-30 22:00:00,72.83,None,6.393,None,31.71,None,2.379,None
2023-12-30 21:00:00,73.11,None,6.395,None,32.66,None,2.685,None
2023-12-30 20:00:00,72.86,None,6.39,None,32.56,None,2.621,None
2023-12-30 19:00:00,73.07,None,6.377,None,32.25,None,2.541,None
2023-12-30 18:00:00,73.0,None,6.393,None,32.12,None,2.409,None
2023-12-30 17:00:00,72.99,None,6.394,None,31.64,None,2.203,None
2023-12-30 16:00:00,73.16,None,6.392,None,29.41,None,2.591,None
2023-12-30 15:00:00,72.75,None,6.391,None,29.96,None,2.458,None
2023-12-30 14:00:00,73.23,None,6.389,None,30.89,None,2.523,None
2023-12-30 13:00:00,72.77,None,6.386,None,32.58,None,2.195,None
2023-12-30 12:00:00,72.74,None,6.382,None,30.56,None,2.271,None
2023-12-30 11:00:00,73.05,None,6.383,None,28.6,None,2.14,None
2023-12-30 10:00:00,73.03,None,6.384,None,29.32,None,2.418,None
2023-12-30 09:00:00,73.05,None,6.383,None,28.83,None,2.359,None
2023-12-30 08:00:00,73.25,None,6.378,None,28.5,None,2.448,None
2023-12-30 07:00:00,73.25,None,6.38,None,28.71,None,2.011,None
2023-12-30 06:00:00,72.78,None,6.383,None,28.53,None,2.457,None
2023-12-30 05:00:00,73.14,None,6.384,None,31.94,None,2.401,None
2023-12-30 04:00:00,73.11,None,6.382,None,33.66,None,2.17,None
2023-12-30 03:00:00,73.16,None,6.383,None,33.01,None,2.678,None
2023-12-30 02:00:00,73.05,None,6.386,None,34.4,None,2.438,None
2023-12-30 01:00:00,72.85,None,6.383,None,33.85,None,2.606,None
2023-12-30 00:00:00,73.19,None,6.385,None,32.63,None,2.573,None
2023-12-29 23:00:00,73.1,None,6.386,None,31.78,None,2.473,None
2023-12-29 22:00:00,73.19,None,6.38,None,31.29,None,2.276,None
2023-12-29 21:00:00,73.32,None,6.383,None,33.84,None,2.432,None
2023-12-29 20:00:00,73.23,None,6.388,None,33.07,None,2.257,None
2023-12-29 19:00:00,73.26,None,6.387,None,33.85,None,2.178,None
2023-12-29 18:00:00,73.55,None,6.385,None,36.4,None,2.405,None
2023-12-29 17:00:00,73.37,None,6.386,None,35.62,None,2.415,None
2023-12-29 16:00:00,73.5,None,6.385,None,33.46,None,2.309,None
2023-12-29 15:00:00,73.53,None,6.384,None,33.9,None,2.767,None
2023-12-29 14:00:00,73.58,None,6.383,None,33.48,None,2.547,None
2023-12-29 13:00:00,73.64,None,6.382,None,33.43,None,2.405,None
2023-12-29 12:00:00,73.67,None,6.383,None,33.27,None,2.23,None
2023-12-29 11:00:00,73.85,None,6.381,None,31.68,None,2.689,None
2023-12-29 10:00:00,73.86,None,6.38,None,29.68,None,2.196,None
2023-12-29 09:00:00,73.85,None,6.374,None,28.73,None,2.416,None
2023-12-29 08:00:00,73.93,None,6.368,None,27.35,None,2.558,None
2023-12-29 07:00:00,73.6,None,6.364,None,27.37,None,2.581,None
2023-12-29 06:00:00,73.77,None,6.379,None,28.04,None,2.273,None
2023-12-29 05:00:00,74.23,None,6.375,None,28.48,None,2.171,None
2023-12-29 04:00:00,74.18,None,6.376,None,29.3,None,2.576,None
2023-12-29 03:00:00,74.37,None,6.376,None,29.12,None,2.42,None
2023-12-29 02:00:00,74.13,None,6.375,None,28.41,None,2.338,None
2023-12-29 01:00:00,74.31,None,6.377,None,28.73,None,2.408,None
2023-12-29 00:00:00,74.31,None,6.376,None,27.58,None,2.584,None
2023-12-28 23:00:00,74.36,None,6.375,None,27.66,None,2.475,None
