sample_date,station_id,station_code,station_name,Farge_mg Pt/l,DIN_mg/l,PO4-P_µg/l,SiO2_mg/l,TOC_mg/l,TOTN_µg/l,TOTP/F_µg/l P,TOTP_P_µg/l P,TSM_mg/l
1990-01-11,40352,DRA1,Drammenselva v/Krokstadelva,,,0.5,,,350.0,,,0.8
1990-02-12,40352,DRA1,Drammenselva v/Krokstadelva,,,2.0,,,419.0,,,2.0
1990-03-13,40352,DRA1,Drammenselva v/Krokstadelva,,,1.5,,,405.0,,,1.4
1990-04-18,40352,DRA1,Drammenselva v/Krokstadelva,,,1.5,,,399.0,,,1.3
1990-05-21,40352,DRA1,Drammenselva v/Krokstadelva,,,0.5,,,317.0,,,1.7
1990-06-12,40352,DRA1,Drammenselva v/Krokstadelva,,,1.0,,,299.0,,,1.5
1990-07-13,40352,DRA1,Drammenselva v/Krokstadelva,,,5.0,,,296.0,,,1.4
1990-08-13,40352,DRA1,Drammenselva v/Krokstadelva,,,0.5,,,270.0,,,0.7
1990-09-10,40352,DRA1,Drammenselva v/Krokstadelva,,,3.0,,,245.0,,,1.0
1990-10-15,40352,DRA1,Drammenselva v/Krokstadelva,,,3.0,,,318.0,,,1.0
1990-11-13,40352,DRA1,Drammenselva v/Krokstadelva,,,1.0,,,371.0,,,0.9
1990-12-12,40352,DRA1,Drammenselva v/Krokstadelva,,,1.0,,,347.0,,,0.9
1991-01-21,40352,DRA1,Drammenselva v/Krokstadelva,,,2.0,,,395.0,,,1.01
1991-02-10,40352,DRA1,Drammenselva v/Krokstadelva,,,2.0,,,371.0,,,1.17
1991-03-08,40352,DRA1,Drammenselva v/Krokstadelva,,,0.5,,,381.0,,,1.12
1991-04-19,40352,DRA1,Drammenselva v/Krokstadelva,,,2.0,,,443.0,,,2.49
1991-05-13,40352,DRA1,Drammenselva v/Krokstadelva,,,1.0,,,374.0,,,1.37
1991-06-05,40352,DRA1,Drammenselva v/Krokstadelva,,,2.0,,,318.0,,,1.4
1991-07-12,40352,DRA1,Drammenselva v/Krokstadelva,,,2.0,,,326.0,,,1.32
1991-08-12,40352,DRA1,Drammenselva v/Krokstadelva,,,1.0,,,312.0,,,3.18
1991-09-09,40352,DRA1,Drammenselva v/Krokstadelva,,,1.0,,,356.0,,,1.33
1991-10-17,40352,DRA1,Drammenselva v/Krokstadelva,,,2.0,,2.29,296.0,,,1.93
1991-11-12,40352,DRA1,Drammenselva v/Krokstadelva,,,2.0,,,428.0,,,1.85
1991-12-09,40352,DRA1,Drammenselva v/Krokstadelva,,,3.0,,,416.0,,,1.98
1992-01-22,40352,DRA1,Drammenselva v/Krokstadelva,,,1.0,,,351.0,,,1.04
